Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,21.626,6288400.0,-58.492
1200.0,20.363,5468100.0,-56.929
1250.0,20.085,5357310.0,-57.478
1500.0,18.862,4898940.0,-60.502
1600.0,19.062,4658880.0,-62.964
1660.0,19.189,4509000.0,-64.301
2000.0,20.015,3720890.0,-69.085
2400.0,19.711,3179060.0,-70.532
2500.0,19.658,3064500.0,-70.887
3000.0,19.195,2660960.0,-74.087
3200.0,19.073,2514320.0,-74.339
3330.0,19.011,2425910.0,-74.487
4000.0,18.868,2042330.0,-75.285
4800.0,18.579,1739110.0,-76.713
5000.0,18.516,1677730.0,-77.016
6000.0,18.35,1417990.0,-78.392
6400.0,18.25,1338560.0,-78.785
6660.0,18.189,1291660.0,-79.022
8000.0,17.928,1094520.0,-80.036
9600.0,17.718,925872.0,-81.209
10000.0,17.678,891527.0,-81.462
12000.0,17.471,752921.0,-82.084
12500.0,17.444,724192.0,-82.267
15000.0,17.329,608507.0,-83.044
16000.0,17.27,572560.0,-83.198
16600.0,17.237,553032.0,-83.286
20000.0,17.089,463349.0,-83.662
24000.0,16.925,390364.0,-84.389
25000.0,16.891,375620.0,-84.559
30000.0,16.834,314232.0,-84.973
32000.0,16.77,295826.0,-85.306
33300.0,16.737,284905.0,-85.529
40000.0,16.675,238359.0,-86.662
48000.0,16.543,200128.0,-86.293
50000.0,16.527,192291.0,-86.205
60000.0,16.401,161493.0,-86.372
64000.0,16.369,151712.0,-86.465
66600.0,16.35,145969.0,-86.519
80000.0,16.264,122184.0,-86.75
96000.0,16.193,102288.0,-87.009
100000.0,16.178,98287.0,-87.059
120000.0,16.107,82282.8,-87.263
125000.0,16.096,79043.8,-87.297
150000.0,16.051,66064.1,-87.449
160000.0,16.019,62061.9,-87.497
166000.0,16.001,59887.4,-87.521
200000.0,15.916,49975.6,-87.631
240000.0,15.862,41789.9,-87.754
250000.0,15.851,40148.1,-87.779
300000.0,15.79,33586.8,-87.882
320000.0,15.78,31508.2,-87.929
333000.0,15.774,30290.6,-87.961
400000.0,15.747,25260.6,-88.086
480000.0,15.702,21110.4,-88.095
500000.0,15.693,20277.4,-88.093
600000.0,15.657,16937.6,-88.169
640000.0,15.653,15883.3,-88.194
666000.0,15.65,15265.9,-88.209
800000.0,15.644,12714.0,-88.268
960000.0,15.649,10591.4,-88.285
1000000.0,15.94,9982.02,-88.311
