Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,13.21,12051100.0,-90.304
1200.0,12.384,10606000.0,-82.081
1250.0,12.194,10345100.0,-82.229
1500.0,11.382,9276450.0,-84.796
1600.0,11.687,8502880.0,-87.484
1660.0,11.89,8056480.0,-88.659
2000.0,13.078,6083170.0,-90.731
2400.0,13.099,5062430.0,-89.545
2500.0,13.132,4847400.0,-89.278
3000.0,12.983,4083500.0,-91.603
3200.0,12.963,3835180.0,-90.977
3330.0,12.969,3685160.0,-90.6
4000.0,13.105,3035920.0,-89.198
4800.0,13.072,2536680.0,-89.284
5000.0,13.063,2436520.0,-89.3
6000.0,13.131,2020060.0,-89.443
6400.0,13.11,1896730.0,-89.434
6660.0,13.097,1824440.0,-89.431
8000.0,13.043,1525070.0,-89.427
9600.0,13.025,1272700.0,-89.772
10000.0,13.023,1222050.0,-89.853
12000.0,12.986,1021260.0,-89.594
12500.0,12.995,979733.0,-89.609
15000.0,13.032,814150.0,-89.669
16000.0,13.023,763787.0,-89.569
16600.0,13.019,736420.0,-89.509
20000.0,13.005,611792.0,-89.164
24000.0,12.962,511596.0,-89.408
25000.0,12.954,491437.0,-89.479
30000.0,13.004,407934.0,-89.375
32000.0,12.977,383244.0,-89.613
33300.0,12.966,368598.0,-89.784
40000.0,12.997,306104.0,-90.707
48000.0,12.948,256079.0,-89.777
50000.0,12.95,245791.0,-89.566
60000.0,12.899,205633.0,-89.381
64000.0,12.892,192896.0,-89.364
66600.0,12.887,185424.0,-89.352
80000.0,12.867,154605.0,-89.309
96000.0,12.855,128953.0,-89.33
100000.0,12.853,123814.0,-89.328
120000.0,12.835,103329.0,-89.321
125000.0,12.835,99188.4,-89.31
150000.0,12.838,82641.9,-89.27
160000.0,12.821,77576.2,-89.254
166000.0,12.812,74823.1,-89.243
200000.0,12.771,62306.5,-89.187
240000.0,12.755,51987.5,-89.171
250000.0,12.751,49921.7,-89.168
300000.0,12.726,41683.2,-89.149
320000.0,12.728,39072.5,-89.158
333000.0,12.728,37545.1,-89.164
400000.0,12.732,31247.8,-89.193
480000.0,12.714,26076.4,-89.098
500000.0,12.71,25039.8,-89.074
600000.0,12.697,20888.2,-89.074
640000.0,12.7,19578.8,-89.075
666000.0,12.701,18812.3,-89.07
800000.0,12.712,15647.5,-89.066
960000.0,12.73,13020.9,-89.017
1000000.0,13.018,12224.0,-89.024
