Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,15.736,10110000.0,-90.205
1200.0,14.918,8822100.0,-83.437
1250.0,14.73,8582700.0,-83.529
1500.0,13.913,7614120.0,-85.726
1600.0,14.229,6988210.0,-87.89
1660.0,14.439,6639590.0,-88.881
2000.0,15.618,5094750.0,-90.563
2400.0,15.647,4238650.0,-89.53
2500.0,15.672,4062130.0,-89.36
3000.0,15.519,3416760.0,-91.295
3200.0,15.502,3207900.0,-90.769
3330.0,15.502,3082720.0,-90.456
4000.0,15.642,2543790.0,-89.299
4800.0,15.606,2124360.0,-89.347
5000.0,15.596,2041040.0,-89.36
6000.0,15.662,1693460.0,-89.479
6400.0,15.64,1589890.0,-89.463
6660.0,15.627,1529070.0,-89.46
8000.0,15.572,1277520.0,-89.448
9600.0,15.55,1066010.0,-89.738
10000.0,15.55,1023500.0,-89.805
12000.0,15.509,855094.0,-89.582
12500.0,15.518,820446.0,-89.593
15000.0,15.553,682198.0,-89.637
16000.0,15.543,639930.0,-89.55
16600.0,15.538,617014.0,-89.5
20000.0,15.522,512615.0,-89.206
24000.0,15.474,428490.0,-89.405
25000.0,15.466,411594.0,-89.463
30000.0,15.513,341957.0,-89.37
32000.0,15.485,321173.0,-89.568
33300.0,15.473,308865.0,-89.709
40000.0,15.5,256677.0,-90.48
48000.0,15.447,214637.0,-89.694
50000.0,15.448,206034.0,-89.516
60000.0,15.393,172309.0,-89.356
64000.0,15.384,161626.0,-89.34
66600.0,15.379,155371.0,-89.33
80000.0,15.355,129552.0,-89.289
96000.0,15.338,108076.0,-89.304
100000.0,15.336,103770.0,-89.302
120000.0,15.312,86607.9,-89.292
125000.0,15.313,83140.2,-89.281
150000.0,15.31,69294.0,-89.247
160000.0,15.293,65037.4,-89.231
166000.0,15.283,62727.1,-89.222
200000.0,15.236,52223.5,-89.173
240000.0,15.217,43573.0,-89.158
250000.0,15.213,41842.0,-89.156
300000.0,15.184,34935.9,-89.138
320000.0,15.184,32751.1,-89.144
333000.0,15.184,31472.3,-89.15
400000.0,15.185,26199.6,-89.175
480000.0,15.166,21860.6,-89.091
500000.0,15.162,20991.1,-89.071
600000.0,15.148,17508.4,-89.068
640000.0,15.152,16410.5,-89.067
666000.0,15.153,15768.0,-89.066
800000.0,15.168,13114.5,-89.056
960000.0,15.191,10911.8,-89.012
1000000.0,15.481,10279.1,-89.01
