Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,14.169,11233600.000,-88.158
1200.000,13.922,9515590.000,-88.458
1250.000,13.784,9231990.000,-88.111
1500.000,13.064,8117660.000,-88.143
1600.000,13.266,7494860.000,-88.644
1660.000,13.379,7160890.000,-88.907
2000.000,13.928,5713170.000,-89.587
2400.000,14.024,4735180.000,-89.386
2500.000,14.031,4537160.000,-89.345
3000.000,14.026,3783020.000,-89.517
3200.000,14.048,3542190.000,-89.448
3330.000,14.062,3401940.000,-89.406
4000.000,14.125,2820230.000,-89.381
4800.000,14.013,2369100.000,-89.485
5000.000,13.993,2277680.000,-89.594
6000.000,13.969,1901200.000,-89.573
6400.000,13.953,1784330.000,-89.555
6660.000,13.943,1715930.000,-89.543
8000.000,13.900,1432930.000,-89.489
9600.000,13.962,1188840.000,-89.554
10000.000,13.972,1140160.000,-89.557
12000.000,13.872,956594.000,-89.534
12500.000,13.883,917098.000,-89.533
15000.000,13.938,761126.000,-89.519
16000.000,13.935,713751.000,-89.513
16600.000,13.934,688139.000,-89.510
20000.000,13.922,571691.000,-89.488
24000.000,13.902,477106.000,-89.451
25000.000,13.898,458178.000,-89.440
30000.000,13.902,381700.000,-89.450
32000.000,13.891,358131.000,-89.436
33300.000,13.883,344380.000,-89.426
40000.000,13.855,287293.000,-89.382
48000.000,13.841,239649.000,-89.351
50000.000,13.836,230111.000,-89.345
60000.000,13.827,191886.000,-89.320
64000.000,13.819,179999.000,-89.309
66600.000,13.814,173049.000,-89.304
80000.000,13.792,144288.000,-89.287
96000.000,13.777,120355.000,-89.263
100000.000,13.774,115556.000,-89.248
120000.000,13.760,96392.000,-89.180
125000.000,13.751,92592.100,-89.176
150000.000,13.713,77374.600,-89.177
160000.000,13.698,72617.400,-89.142
166000.000,13.690,70033.700,-89.121
200000.000,13.654,58282.200,-88.997
240000.000,13.649,48583.500,-89.113
250000.000,13.649,46639.800,-89.137
300000.000,13.634,38911.900,-89.116
320000.000,13.612,36545.800,-89.131
333000.000,13.598,35157.800,-89.141
400000.000,13.546,29381.900,-89.221
480000.000,13.581,24419.900,-89.050
500000.000,13.588,23428.500,-89.020
600000.000,13.578,19538.300,-88.987
640000.000,13.577,18318.500,-88.981
666000.000,13.577,17602.900,-88.972
800000.000,13.580,14649.300,-88.944
960000.000,13.602,12186.900,-88.906
1000000.000,13.610,11692.100,-88.905
#,#,#,#
