Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,14.816,10738800.0,-88.033
-1.9,14.813,10736900.0,-88.041
-1.8,14.815,10739000.0,-88.044
-1.7,14.816,10736700.0,-88.026
-1.6,14.811,10740700.0,-88.027
-1.5,14.816,10738100.0,-88.024
-1.4,14.819,10735800.0,-88.041
-1.3,14.816,10734000.0,-88.04
-1.2,14.818,10737500.0,-88.031
-1.1,14.814,10739300.0,-88.03
-1.0,14.814,10735900.0,-88.036
-0.9,14.812,10736300.0,-88.033
-0.8,14.817,10736900.0,-88.029
-0.7,14.814,10741100.0,-88.011
-0.6,14.815,10740400.0,-88.017
-0.5,14.81,10735800.0,-88.023
-0.4,14.819,10737400.0,-88.028
-0.3,14.816,10735100.0,-88.042
-0.2,14.811,10736000.0,-88.036
-0.1,14.817,10739800.0,-88.01
0.0,14.818,10735600.0,-88.037
0.1,14.812,10736700.0,-88.027
0.2,14.809,10733300.0,-88.034
0.3,14.816,10737700.0,-88.028
0.4,14.809,10742000.0,-88.016
0.5,14.81,10740500.0,-88.015
0.6,14.819,10734800.0,-88.025
0.7,14.82,10738500.0,-88.024
0.8,14.82,10737700.0,-88.032
0.9,14.815,10741300.0,-88.009
1.0,14.818,10740900.0,-88.029
1.1,14.816,10741400.0,-88.017
1.2,14.812,10742500.0,-88.018
1.3,14.813,10740700.0,-88.017
1.4,14.811,10738100.0,-88.012
1.5,14.814,10739100.0,-88.031
1.6,14.818,10743500.0,-88.019
1.7,14.816,10741100.0,-88.043
1.8,14.811,10742900.0,-88.029
1.9,14.82,10736100.0,-88.022
2.0,14.812,10736600.0,-88.029
2.1,14.809,10741900.0,-88.022
2.2,14.809,10741100.0,-88.033
2.3,14.812,10740300.0,-88.032
2.4,14.816,10737900.0,-88.005
2.5,14.815,10734700.0,-88.011
2.6,14.817,10739600.0,-88.045
2.7,14.815,10737400.0,-88.024
2.8,14.818,10737900.0,-88.031
2.9,14.812,10738200.0,-88.01
3.0,14.816,10738900.0,-88.02
