Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,15.965,9960360.000,-89.842
-1.900,15.963,9960910.000,-89.933
-1.800,15.963,9962910.000,-89.933
-1.700,15.960,9965260.000,-89.944
-1.600,15.993,9969790.000,-89.836
-1.500,15.980,9969660.000,-89.907
-1.400,15.958,9978030.000,-89.915
-1.300,15.969,9974510.000,-89.894
-1.200,15.981,9970380.000,-89.862
-1.100,15.970,9959510.000,-89.922
-1.000,15.978,9967690.000,-89.925
-0.900,15.999,9960280.000,-89.861
-0.800,15.992,9962920.000,-89.882
-0.700,15.984,9957400.000,-89.916
-0.600,15.953,9976480.000,-89.931
-0.500,15.986,9966510.000,-89.863
-0.400,15.971,9964920.000,-89.935
-0.300,15.958,9970650.000,-89.948
-0.200,15.962,9974990.000,-89.901
-0.100,15.991,9963320.000,-89.881
0.000,15.969,9961070.000,-89.949
0.100,15.961,9968990.000,-89.852
0.200,15.971,9968280.000,-89.834
0.300,15.976,9963470.000,-89.864
0.400,15.982,9967670.000,-89.940
0.500,15.955,9977880.000,-89.871
0.600,15.990,9960240.000,-89.949
0.700,15.981,9964830.000,-89.885
0.800,15.981,9973320.000,-89.927
0.900,15.959,9962620.000,-89.886
1.000,15.976,9965890.000,-89.938
1.100,15.967,9966000.000,-89.876
1.200,15.969,9969320.000,-89.916
1.300,15.963,9964290.000,-89.918
1.400,15.973,9964920.000,-89.881
1.500,15.986,9966600.000,-89.849
1.600,15.966,9963040.000,-89.857
1.700,15.965,9960670.000,-89.889
1.800,15.972,9955740.000,-89.897
1.900,15.975,9975350.000,-89.911
2.000,15.959,9970440.000,-89.919
2.100,15.977,9976040.000,-89.946
2.200,15.975,9978400.000,-89.898
2.300,15.969,9979190.000,-89.838
2.400,15.974,9956560.000,-89.939
2.500,15.975,9972600.000,-89.903
2.600,15.977,9952740.000,-89.892
2.700,15.973,9956800.000,-89.912
2.800,15.974,9963450.000,-89.961
2.900,15.960,9978560.000,-89.810
3.000,15.972,9958840.000,-89.867
#,#,#,#
