Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-3.0,89.752,282025.0,-9.116
-2.9,89.763,282001.0,-9.116
-2.8,89.737,281984.0,-9.116
-2.7,89.86,281959.0,-9.116
-2.6,90.035,281993.0,-9.115
-2.5,90.041,281973.0,-9.116
-2.4,89.897,281983.0,-9.116
-2.3,89.715,281966.0,-9.117
-2.2,89.652,281980.0,-9.118
-2.1,89.627,281939.0,-9.117
-2.0,89.629,281876.0,-9.115
-1.9,89.597,281809.0,-9.117
-1.8,89.586,281787.0,-9.116
-1.7,89.589,281701.0,-9.114
-1.6,89.579,281614.0,-9.114
-1.5,89.585,281697.0,-9.113
-1.4,89.602,281755.0,-9.115
-1.3,89.589,281790.0,-9.115
-1.2,89.58,281729.0,-9.116
-1.1,89.587,281661.0,-9.117
-1.0,89.581,281698.0,-9.117
-0.9,89.584,281774.0,-9.115
-0.8,89.583,281825.0,-9.116
-0.7,89.579,281849.0,-9.116
-0.6,89.553,281852.0,-9.117
-0.5,89.53,281883.0,-9.12
-0.4,89.507,281877.0,-9.117
-0.3,89.496,281881.0,-9.116
-0.2,89.487,281847.0,-9.115
-0.1,89.48,281850.0,-9.117
0.0,89.489,281849.0,-9.117
0.1,89.483,281857.0,-9.115
0.2,89.47,281858.0,-9.115
0.3,89.471,281853.0,-9.117
0.4,89.498,281861.0,-9.118
0.5,89.501,281838.0,-9.118
0.6,89.495,281870.0,-9.117
0.7,89.499,281887.0,-9.118
0.8,89.477,281976.0,-9.118
0.9,89.47,282026.0,-9.118
1.0,89.456,281983.0,-9.12
1.1,89.479,281971.0,-9.123
1.2,89.482,281895.0,-9.12
1.3,89.489,281888.0,-9.122
1.4,89.497,281940.0,-9.12
1.5,89.504,281921.0,-9.118
1.6,89.483,281883.0,-9.119
1.7,89.474,281901.0,-9.12
1.8,89.413,281961.0,-9.119
1.9,89.383,282081.0,-9.121
2.0,89.39,282216.0,-9.122
