Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,16.371,9708130.0,-87.388
-1.9,16.377,9713090.0,-87.376
-1.8,16.379,9710710.0,-87.38
-1.7,16.376,9710360.0,-87.378
-1.6,16.368,9711420.0,-87.379
-1.5,16.376,9710150.0,-87.367
-1.4,16.366,9708860.0,-87.382
-1.3,16.372,9710980.0,-87.384
-1.2,16.378,9712330.0,-87.375
-1.1,16.37,9710560.0,-87.362
-1.0,16.378,9710230.0,-87.36
-0.9,16.371,9709310.0,-87.37
-0.8,16.371,9707260.0,-87.389
-0.7,16.372,9708150.0,-87.372
-0.6,16.373,9709730.0,-87.379
-0.5,16.366,9708800.0,-87.391
-0.4,16.374,9709450.0,-87.35
-0.3,16.376,9709270.0,-87.37
-0.2,16.373,9707570.0,-87.379
-0.1,16.371,9710060.0,-87.37
0.0,16.371,9708650.0,-87.385
0.1,16.364,9710850.0,-87.377
0.2,16.366,9710580.0,-87.373
0.3,16.378,9710000.0,-87.374
0.4,16.372,9711850.0,-87.381
0.5,16.377,9707050.0,-87.361
0.6,16.378,9711000.0,-87.397
0.7,16.37,9710860.0,-87.379
0.8,16.373,9710740.0,-87.364
0.9,16.377,9711940.0,-87.357
1.0,16.371,9709720.0,-87.382
1.1,16.378,9709140.0,-87.358
1.2,16.379,9709610.0,-87.358
1.3,16.376,9706280.0,-87.364
1.4,16.374,9713080.0,-87.402
1.5,16.37,9709480.0,-87.369
1.6,16.376,9711260.0,-87.381
1.7,16.375,9713480.0,-87.377
1.8,16.373,9714290.0,-87.363
1.9,16.372,9708010.0,-87.383
2.0,16.377,9714940.0,-87.371
2.1,16.372,9708930.0,-87.375
2.2,16.366,9709420.0,-87.38
2.3,16.366,9715130.0,-87.379
2.4,16.376,9709780.0,-87.369
2.5,16.372,9711570.0,-87.387
2.6,16.374,9713480.0,-87.373
2.7,16.367,9710710.0,-87.38
2.8,16.367,9711230.0,-87.37
2.9,16.375,9710360.0,-87.373
3.0,16.369,9706110.0,-87.381
