Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,15.642,10176300.000,-90.202
-1.900,15.637,10174500.000,-90.206
-1.800,15.633,10177100.000,-90.222
-1.700,15.635,10174700.000,-90.201
-1.600,15.640,10174600.000,-90.212
-1.500,15.636,10179400.000,-90.173
-1.400,15.643,10176200.000,-90.197
-1.300,15.638,10177200.000,-90.191
-1.200,15.640,10176500.000,-90.201
-1.100,15.641,10178800.000,-90.217
-1.000,15.641,10183100.000,-90.219
-0.900,15.640,10178400.000,-90.223
-0.800,15.639,10182400.000,-90.221
-0.700,15.642,10180000.000,-90.213
-0.600,15.634,10177300.000,-90.206
-0.500,15.629,10171200.000,-90.250
-0.400,15.641,10179000.000,-90.211
-0.300,15.635,10177300.000,-90.217
-0.200,15.628,10178100.000,-90.234
-0.100,15.641,10181500.000,-90.203
0.000,15.648,10170400.000,-90.204
0.100,15.632,10176500.000,-90.250
0.200,15.640,10176900.000,-90.237
0.300,15.649,10173400.000,-90.204
0.400,15.633,10179800.000,-90.245
0.500,15.627,10188500.000,-90.214
0.600,15.641,10174600.000,-90.182
0.700,15.641,10182600.000,-90.198
0.800,15.630,10186000.000,-90.202
0.900,15.648,10175700.000,-90.201
1.000,15.637,10174100.000,-90.225
1.100,15.630,10181200.000,-90.251
1.200,15.637,10178400.000,-90.246
1.300,15.642,10175000.000,-90.269
1.400,15.624,10185200.000,-90.229
1.500,15.638,10177300.000,-90.202
1.600,15.655,10169400.000,-90.210
1.700,15.646,10172700.000,-90.208
1.800,15.646,10175500.000,-90.180
1.900,15.646,10167300.000,-90.238
2.000,15.644,10172600.000,-90.240
2.100,15.638,10184000.000,-90.198
2.200,15.641,10185100.000,-90.230
2.300,15.636,10185900.000,-90.240
2.400,15.645,10179600.000,-90.183
2.500,15.637,10176300.000,-90.207
2.600,15.634,10175200.000,-90.241
2.700,15.629,10170500.000,-90.238
2.800,15.633,10168300.000,-90.248
2.900,15.632,10179500.000,-90.232
3.000,15.633,10176600.000,-90.191
#,#,#,#
