Current (mA),Time (ms)
Current (mA),Time (ms)
0.000,97.000
0.204,10293.000
0.337,10718.000
0.369,10989.000
0.383,11261.000
0.394,11533.000
0.404,11805.000
0.414,12074.000
0.424,12344.000
0.425,12612.000
0.429,12884.000
0.449,13156.000
0.459,13431.000
0.463,13701.000
0.488,13973.000
0.484,14243.000
0.514,14514.000
0.515,14785.000
0.553,15057.000
0.553,15329.000
0.552,15600.000
0.595,15872.000
0.570,16144.000
0.562,16413.000
0.571,16686.000
0.564,16957.000
0.567,17229.000
0.573,17498.000
0.573,17767.000
0.596,18038.000
0.575,18311.000
0.577,18583.000
0.581,18855.000
0.575,19125.000
0.567,19397.000
0.599,19670.000
0.600,19942.000
0.570,20212.000
0.573,20484.000
0.576,20754.000
0.580,21028.000
0.584,21299.000
0.576,21572.000
0.577,21843.000
0.575,22113.000
0.579,22382.000
0.581,22652.000
0.574,22925.000
0.579,23198.000
0.577,23470.000
0.579,23740.000
0.588,24012.000
0.576,24282.000
0.584,24555.000
0.578,24827.000
0.587,25096.000
0.588,25367.000
0.584,25638.000
0.588,25910.000
0.587,26183.000
0.587,26452.000
0.590,26723.000
0.594,26996.000
0.593,27267.000
0.592,27537.000
0.599,27805.000
0.599,28075.000
0.605,28349.000
0.605,28620.000
0.606,28891.000
0.610,29162.000
0.613,29432.000
0.615,29702.000
0.617,29971.000
0.621,30242.000
0.622,30514.000
0.627,30786.000
0.633,31056.000
0.634,31330.000
0.636,31601.000
0.641,31872.000
0.646,32145.000
0.650,32416.000
0.652,32685.000
0.657,32958.000
0.662,33229.000
0.668,33500.000
0.670,33771.000
0.676,34043.000
0.680,34314.000
0.686,34584.000
0.694,34855.000
0.698,35125.000
0.705,35396.000
0.713,35666.000
0.720,35937.000
0.728,36208.000
0.735,36517.000
0.745,36878.000
0.758,37237.000
0.769,37594.000
0.779,37954.000
0.861,38327.000
0.913,38685.000
1.105,39045.000
1.093,39544.000
1.138,39900.000
1.189,40260.000
1.381,40616.000
1.474,40977.000
1.554,41337.000
1.576,41697.000
1.834,42055.000
1.870,42415.000
1.890,42775.000
2.147,43134.000
2.237,43495.000
2.248,43852.000
2.921,44211.000
2.872,44567.000
2.994,44927.000
3.069,45286.000
3.325,45645.000
3.587,46001.000
3.654,46359.000
4.123,46714.000
4.208,47072.000
4.569,47436.000
5.028,47794.000
