Current (mA),Time (ms)
0.0,91.0
3.098,10281.0
2.731,10551.0
2.754,10821.0
2.826,11092.0
2.872,11363.0
2.847,11634.0
2.756,11904.0
2.64,12174.0
2.527,12443.0
2.428,12713.0
2.351,12984.0
2.298,13254.0
2.26,13524.0
2.23,13795.0
2.206,14064.0
2.187,14334.0
2.172,14603.0
2.161,14874.0
2.152,15144.0
2.147,15414.0
2.144,15685.0
2.144,15954.0
2.148,16224.0
2.155,16494.0
2.166,16764.0
2.18,17034.0
2.196,17305.0
2.212,17575.0
2.229,17846.0
2.245,18116.0
2.261,18386.0
2.277,18657.0
2.291,18926.0
2.304,19196.0
2.32,19467.0
2.331,19736.0
2.341,20007.0
2.349,20278.0
2.354,20549.0
2.36,20819.0
2.359,21090.0
2.359,21359.0
2.357,21630.0
2.357,21901.0
2.355,22172.0
2.354,22442.0
2.352,22713.0
2.35,22983.0
2.349,23253.0
2.348,23523.0
2.346,23794.0
2.344,24064.0
2.341,24335.0
2.339,24606.0
2.334,24876.0
2.329,25146.0
2.326,25416.0
2.321,25686.0
2.316,25956.0
2.311,26226.0
2.306,26496.0
2.3,26766.0
2.294,27036.0
2.288,27305.0
2.283,27576.0
2.275,27846.0
2.269,28118.0
2.261,28388.0
2.254,28659.0
2.246,28931.0
2.238,29201.0
2.23,29472.0
2.22,29742.0
2.208,30012.0
2.193,30282.0
2.18,30552.0
2.167,30822.0
2.153,31092.0
2.14,31362.0
2.125,31632.0
2.109,31903.0
2.093,32173.0
2.076,32443.0
2.06,32714.0
2.045,32984.0
2.03,33255.0
2.013,33526.0
1.997,33797.0
1.983,34067.0
1.97,34337.0
1.958,34608.0
1.945,34878.0
1.93,35148.0
1.916,35418.0
1.899,35688.0
1.881,35959.0
1.863,36228.0
1.846,36498.0
1.833,36768.0
1.82,37038.0
1.804,37309.0
1.787,37580.0
1.768,37851.0
1.749,38121.0
1.729,38391.0
1.71,38662.0
1.691,38932.0
1.673,39202.0
1.655,39473.0
1.638,39743.0
1.622,40012.0
1.609,40283.0
1.595,40553.0
1.579,40822.0
1.564,41092.0
1.552,41363.0
1.539,41634.0
1.525,41905.0
1.511,42175.0
1.497,42446.0
1.482,42715.0
1.468,42985.0
1.456,43254.0
1.447,43523.0
1.44,43793.0
1.427,44063.0
1.416,44334.0
1.405,44605.0
1.397,44875.0
1.387,45145.0
1.377,45415.0
1.368,45686.0
1.359,45955.0
1.35,46225.0
1.341,46496.0
1.333,46766.0
1.328,47036.0
1.324,47306.0
1.32,47577.0
1.313,47847.0
1.307,48118.0
1.302,48388.0
1.297,48658.0
1.292,48928.0
1.287,49198.0
1.282,49469.0
1.277,49739.0
1.273,50009.0
1.269,50278.0
1.265,50549.0
1.261,50818.0
1.257,51089.0
1.255,51358.0
1.252,51627.0
1.25,51898.0
1.247,52168.0
1.244,52439.0
1.241,52709.0
1.238,52980.0
1.235,53250.0
1.233,53520.0
1.23,53791.0
1.228,54062.0
1.229,54333.0
1.229,54604.0
1.226,54873.0
1.223,55145.0
1.221,55415.0
1.223,55685.0
1.224,55956.0
1.224,56227.0
1.226,56496.0
1.229,56767.0
1.228,57037.0
1.224,57308.0
1.222,57578.0
1.219,57848.0
1.218,58117.0
1.216,58387.0
1.214,58658.0
1.21,58929.0
1.206,59199.0
1.202,59469.0
1.198,59740.0
1.196,60011.0
1.199,60281.0
1.198,60552.0
1.197,60822.0
1.197,61092.0
1.198,61362.0
1.201,61633.0
1.206,61902.0
1.212,62170.0
1.21,62441.0
1.208,62711.0
1.207,62982.0
1.205,63251.0
1.201,63522.0
