index,Pattern,Board ID,Sensor,Status,Time to Failure (ms),Current,Location,Date,Solution,Voltage,Ph,Tags,CV_Baseline ,CF_Baseline
32,1,03_01_0041,U1,Failed,98109,03_01_0041_U1_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3,4.02,,03_01_0041_U1_20240411_CV_0.csv,03_01_0041_U1_20240411_CF_0.csv
35,1,03_01_0041,U4,Failed,75816,03_01_0041_U4_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3,4.02,,03_01_0041_U4_20240411_CV_0.csv,03_01_0041_U4_20240411_CF_0.csv
36,1,03_01_0046,U1,Failed,57093,03_01_0046_U1_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3,4.1,,03_01_0046_U1_20240411_CV_0.csv,03_01_0046_U1_20240411_CF_0.csv
39,1,03_01_0046,U4,Failed,104035,03_01_0046_U4_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3,4.1,,03_01_0046_U4_20240411_CV_0.csv,03_01_0046_U4_20240411_CF_0.csv
48,1,03_01_0061,U1,Failed,23868,03_01_0061_U1_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3,3.96,,03_01_0061_U1_20240411_CV_0.csv,03_01_0061_U1_20240411_CF_0.csv
52,1,03_01_0066,U1,Failed,35823,03_01_0066_U1_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3,4.26,,03_01_0066_U1_20240411_CV_0.csv,03_01_0066_U1_20240411_CF_0.csv
55,1,03_01_0066,U4,Failed,43174,03_01_0066_U4_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3,4.26,,03_01_0066_U4_20240411_CV_0.csv,03_01_0066_U4_20240411_CF_0.csv
64,1,03_01_0081,U1,Failed,92411,03_01_0081_U1_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3,3.96,,03_01_0081_U1_20240411_CV_0.csv,03_01_0081_U1_20240411_CF_0.csv
67,1,03_01_0081,U4,Failed,71432,03_01_0081_U4_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3,3.96,,03_01_0081_U4_20240411_CV_0.csv,03_01_0081_U4_20240411_CF_0.csv
68,1,03_01_0086,U1,Failed,28461,03_01_0086_U1_20250418_I.csv,R1-379,4/18/2025,Succinic 0.388mM,3,4.23,,03_01_0086_U1_20240411_CV_0.csv,03_01_0086_U1_20240411_CF_0.csv
71,1,03_01_0086,U4,Failed,36390,03_01_0086_U4_20250418_I.csv,R1-379,4/18/2025,Succinic 0.388mM,3,4.23,,03_01_0086_U4_20240411_CV_0.csv,03_01_0086_U4_20240411_CF_0.csv
84,1,03_01_0106,U1,Failed,82056,03_01_0106_U1_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3,3.82,,03_01_0106_U1_20240412_CV_0.csv,03_01_0106_U1_20240412_CF_0.csv
87,1,03_01_0106,U4,Failed,89957,03_01_0106_U4_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3,3.82,,03_01_0106_U4_20240412_CV_0.csv,03_01_0106_U4_20240412_CF_0.csv
121,1,03_01_0151,U1,Failed,54771,03_01_0151_U1_20250406_I.CSV,CREOL-A112,4/6/2025,Adipic Acid - 1.24mM,3,4.07,,03_01_0151_U1_20231121_CV_0.csv,03_01_0151_U1_20231121_CF_0.csv
153,1,03_01_0191,U1,Failed,75274,03_01_0191_U1_20250406_I.CSV,CREOL-A112,4/6/2025,Adipic Acid - 1.24mM,3,3.87,,03_01_0191_U1_20231121_CV_0.csv,03_01_0191_U1_20231121_CF_0.csv
156,1,03_01_0191,U4,Failed,54307,03_01_0191_U4_20250406_I.CSV,CREOL-A112,4/6/2025,Adipic Acid - 1.24mM,3,3.87,,03_01_0191_U4_20231121_CV_0.csv,03_01_0191_U4_20231121_CF_0.csv
225,4,03_04_0031,U1,Failed,44974,03_04_0031_U1_20250406_I.CSV,CREOL-A112,4/6/2025,Adipic Acid - 1.24mM,3,3.84,,03_04_0031_U1_20231121_CV_0.csv,03_04_0031_U1_20231121_CF_0.csv
228,4,03_04_0031,U4,Failed,46176,03_04_0031_U4_20250406_I.CSV,CREOL-A112,4/6/2025,Adipic Acid - 1.24mM,3,3.84,,03_04_0031_U4_20231121_CV_0.csv,03_04_0031_U4_20231121_CF_0.csv
241,4,03_04_0051,U1,Failed,51228,03_04_0051_U1_20250406_I.CSV,CREOL-A112,4/6/2025,Adipic Acid - 1.24mM,3,3.96,,03_04_0051_U1_20231121_CV_0.csv,03_04_0051_U1_20231121_CF_0.csv
257,4,03_04_0071,U1,Failed,48820,03_04_0071_U1_20250406_I.CSV,CREOL-A112,4/6/2025,Adipic Acid - 1.24mM,3,3.84,,03_04_0071_U1_20231121_CV_0.csv,03_04_0071_U1_20231121_CF_0.csv
273,4,03_04_0091,U1,Failed,77704,03_04_0091_U1_20250408_I.csv,CREOL-A112,4/8/2025,Adipic Acid - 1.24mM,3,3.91,,03_04_0091_U1_20231121_CV_0.csv,03_04_0091_U1_20231121_CF_0.csv
276,4,03_04_0091,U4,Failed,104553,03_04_0091_U4_20250408_I.csv,CREOL-A112,4/8/2025,Adipic Acid - 1.24mM,3,3.91,,03_04_0091_U4_20231121_CV_0.csv,03_04_0091_U4_20231121_CF_0.csv
289,4,03_04_0111,U1,Failed,42194,03_04_0111_U1_20250408_I.csv,CREOL-A112,4/8/2025,Adipic Acid - 1.24mM,3,4.05,,03_04_0111_U1_20231121_CV_0.csv,03_04_0111_U1_20231121_CF_0.csv
292,4,03_04_0111,U4,Failed,43714,03_04_0111_U4_20250408_I.csv,CREOL-A112,4/8/2025,Adipic Acid - 1.24mM,3,4.05,,03_04_0111_U4_20231121_CV_0.csv,03_04_0111_U4_20231121_CF_0.csv
305,4,03_04_0141,U1,Failed,105273,03_04_0141_U1_20250409_I.csv,CREOL-A112,4/9/2025,Adipic Acid - 1.24mM,3,3.94,,03_04_0041_U1_20231121_CV_0.csv,03_04_0041_U1_20231121_CF_0.csv
308,4,03_04_0141,U4,Failed,66279,03_04_0141_U4_20250409_I.csv,CREOL-A112,4/9/2025,Adipic Acid - 1.24mM,3,3.94,,03_04_0041_U4_20231121_CV_0.csv,03_04_0041_U4_20231121_CF_0.csv
321,4,03_04_0161,U1,Failed,73096,03_04_0161_U1_20250409_I.csv,CREOL-A112,4/9/2025,Adipic Acid - 1.24mM,3,3.66,,03_04_0161_U1_20231121_CV_0.csv,03_04_0161_U1_20231121_CF_0.csv
324,4,03_04_0161,U4,Failed,47794,03_04_0161_U4_20250409_I.csv,CREOL-A112,4/9/2025,Adipic Acid - 1.24mM,3,3.66,,03_04_0161_U4_20231121_CV_0.csv,03_04_0161_U4_20231121_CF_0.csv
401,7,03_07_0011,U1,Failed,96962,03_07_0011_U1_20250409_I.csv,CREOL-A112,4/9/2025,Adipic Acid - 1.24mM,3,4.01,,03_07_0011_U1_20231121_CV_0.csv,03_07_0011_U1_20231121_CF_0.csv
404,7,03_07_0011,U4,Failed,126875,03_07_0011_U4_20250409_I.csv,CREOL-A112,4/9/2025,Adipic Acid - 1.24mM,3,4.01,,03_07_0011_U4_20231121_CV_0.csv,03_07_0011_U4_20231121_CF_0.csv
417,7,03_07_0031,U1,Failed,55060,03_07_0031_U1_20250409_I.csv,CREOL-A112,4/9/2025,Adipic Acid - 1.24mM,5,4.0,,03_07_0031_U1_20231121_CV_0.csv,03_07_0031_U1_20231121_CF_0.csv
433,7,03_07_0051,U1,Failed,10299,03_07_0051_U1_20250411_I.csv,CREOL-A112,4/11/2025,Adipic Acid - 1.24mM,5,4.0,,03_07_0051_U1_20231121_CV_0.csv,03_07_0051_U1_20231121_CF_0.csv
436,7,03_07_0051,U4,Failed,10298,03_07_0051_U4_20250411_I.csv,CREOL-A112,4/11/2025,Adipic Acid - 1.24mM,5,4.0,,03_07_0051_U4_20231121_CV_0.csv,03_07_0051_U4_20231121_CF_0.csv
